Buy Now,Comprar Ahora
Cancel Coupon,Cancelar Cupón
"Based on your selection, you may be interested in the following items:","Basado en tu selección, puede que te interesen los siguientes artículos:"
Update Cart,Actualizar Bolsa
Edit item parameters,Editar Parámetros de Artículo
Move,Mover
Remove item,Eliminar Artículo
Shopping Cart is Empty,Bolsa Vacía
Shipping,Envío
(choose the desnation),(elegir destino)
Estimate Shipping and Tax,Coste Estimado de Envío e Impuestos.
Enter your destination to get a shipping estimate.,Introduce tu destino para obtener una cuota estimada de envío.
Get a Quote,Obtener presupuesto
Update Total,Actualizar Total
Change Billing Address,Cambiar Dirección de Facturación
Add New Address,Añadir Dirección Nueva
Edit Address,Editar Dirección
Select Address,Seleccionar Dirección
Default Billing,Facturación por Defecto
Default Shipping,Envío por Defecto
Back to Billing Information,Volver a Información de Facturación
Ship to Multiple Addresses,Enviar a Múltiples Direcciones
Enter a New Address,Introducir Dirección Nueva
Please select shipping address for applicable items,Por favor selecciona dirección de envío para artículos aplicables
Product,Producto
Send To,Enviar a
Update Qty & Addresses,Actualizar Cantidad y Direcciones
Shipping selection is not applicable.,Selección de envío no aplicable.
Back to Shopping Cart,Volver a la Bolsa
Continue to Shipping Information,Continuar a Información de Envío
Other Items in Your Order,Otros Artículos de tu Pedido
Items,Artículos
Edit Items,Editar Artículos
Billing Information,Información de Facturación
Billing Address,Dirección de Facturación
Payment Method,Método de Pago
Back to Shipping Information,Volver a Información de Envío
Continue to Review Your Order,Continuar para Revisar el Pedido
Checkout with Multiple Addresses,Comprar con Direcciones Múltiples
Review Order,Revisar Pedido
Shipping Information,Información de Envío
Shipping To,Enviar a
Shipping Method,Método de Envío
Grand Total:,Total:
Place Order,Crear Pedido
Submitting order information...,Enviando información del pedido...
Please agree to all Terms and Conditions before placing the orders.,Por favor debe aceptar todos los Término y Condiciones antes de realizar algún pedido.
Select Shipping Method,Seleccionar Método de Envío
"Sorry, no quotes are available for this order at this time.","Lo siento, no hay presupuestos disponibles para este pedido en este momento."
Back to Select Addresses,Volver a Seleccionar Direcciones
Continue to Billing Information,Continuar a Información de Facturación
Order Success,Pedido Completado con Éxito
Thank you for your purchase!,¡Gracias por tu compra!
We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.,Estamos procesando tu pedido y pronto recibirás un email con los detalles del pedido. Una vez hayamos enviado el pedido recibirás otro email con un enlace para hacer seguimiento del mismo.
Your order number is ,El número de tu pedido es
No Payment Methods,No Hay Métodos de Pago
Shipping Address,Dirección de Envío
Shipping method has not been selected yet,El método de envío aún no ha sido seleccionado
Forgot an Item?,¿Has olvidado algún artículo?
Edit Your Cart,Editar Bolsa
Your credit card will be charged for,Se cargará en tu tarjeta de crédito
Your order has been received.,Tu pedido ha sido recibido.
You will receive an order confirmation email with details of your order and a link to track its progress.,Recibirás un email de confirmación de pedido y un enlace para hacer un seguimiento del envío.
Your recurring payment profiles:,Tus perfiles de pago recurrentes:
Contact Us,Contacta con Nosotros
Contact Information,Información de Contacto
Name,Nombre
Email,Email
Comment,Comentario
Submit,Enviar
Address Book,Agenda de Direcciones
Manage Addresses,Gestionar Direcciones
Default Billing Address,Dirección de Facturación por Defecto
Default Shipping Address,Dirección de Envío por Defecto
From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.,Desde tu página Mi Cuenta tienes la habilidad de ver la actividad reciente de tu cuenta y actualizar la información de la misma. Selecciona el enlace para ver o editar información.
Change Password,Cambiar Contraseña
Newsletters,Newsletters
You are currently subscribed to 'General Subscription'.,Actualmente estas suscrito a “Suscripción General”.
You are currently not subscribed to any newsletter.,Actualmente no estas suscrito a ningún newsletter.
Edit Newsletters,Editar Newsletters
You are currently subscribed to our newsletter.,Actualmente estas suscrito a nuestro newsletter.
My Dashboard,Mi Cuenta
Account Information,Información de la Cuenta
My Account,Mi Cuenta
Default Addresses,Direcciones por Defecto
You have no default billing address in your address book.,No hay dirección de facturación por defecto en tu agenda.
Change Shipping Address,Cambiar Dirección de Envío
You have no default shipping address in your address book.,No hay dirección de envío por defecto en tu agenda.
Additional Address Entries,Entradas Adicionales de Dirección
Delete Address,Eliminar Dirección
You have no additional address entries in your address book.,No hay entradas adicionales de direcciones en tu agenda.
Are you sure you want to delete this address?,¿Estas seguro de querer eliminar esta dirección?
Use as My Default Billing Address,Usar como Mi Dirección de Facturación por Defecto
Use as my default billing address,Usar como mi dirección de facturación por defecto
Use as My Default Shipping Address,Usar como Mi Dirección de Envío por Defecto
Use as my default shipping address,Usar como mi dirección de envío por defecto
Save Address,Guardar Dirección
Address Books,Agenda de Direcciones
You have no default entries in your address book.,No hay entradas por defecto en tu agenda de direcciones.
You have no additional entries in your address book.,No hay entradas adicionales en la agenda de direcciones.
New Address,Dirección Nueva
Edit Address Entry,Editar Entrada de Dirección
New Address Entry,Nueva Entrada de Dirección
Personal Information,Información Personal
Change Account Password,Cambiar Contraseña de la Cuenta
Current Password,Contraseña Actual
New Password,Contraseña Nueva
Confirm New Password,Confirmar Contraseña Nueva
Save Password,Guardar Contraseña
Send confirmation link,Enviar enlace de confirmación
Retrieve your confirmation link here,Obtén aquí tu enlace de confirmación
Please enter your email below and we\'ll send you confirmation link for it.,Introduce tu email y te mandaremos un enlace de confirmación.
Back to Login,Volver a Iniciar Sesión
Edit Account Information,Editar Información de Cuenta
Save,Guardar
Forgot Your Password?,¿Has olvidado tu contraseña?
Retrieve your password here,Obtener Contraseña
Please enter your email address below. You will receive a link to reset your password.,Introduce dirección de envío. Recibirás un enlace para restablecer la contraseña.
Login or Create an Account,Iniciar Sesión o Crear una Cuenta
New Customers,Clientes Nuevos
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Creando una cuenta con nosotros podrás realizar el proceso de compra de manera más rápida, guardar múltiples direcciones, ver y seguir los pedidos de tu cuenta y más."
Registered Customers,Clientes Registrados
"If you have an account with us, please log in.","Si tienes una cuenta con nosotros, por favor inicia sesión."
Create an Account,Crear una Cuenta
Email:,Email:
Password:,Contraseña:
Newsletter Subscription,Suscripción Newsletter
General Subscription,Suscripción General
Sign Up for Newsletter,Suscribirse al Newsletter
Address Information,Información de Dirección
Login Information,Información de Inicio de Sesión
Reset a Password,Restablecer Contraseña
You are now logged out,Sesión Cerrada
You have logged out and will be redirected to our homepage in 5 seconds.,Has cerrado sesión y serás redirigido a nuestra página de inicio en 5 segundos.
My Orders,Mis Pedidos
Date,Fecha
Status,Estado
View Order,Ver Pedido
You have placed no orders yet.,Aún no has creado ningún pedido.
Date of Birth,Fecha de Nacimiento
Day,Día
DD,DD
Month,Mes
MM,MM
Year,Año
YYYY,AAAA
Gender,Sexo
Tax/VAT number,CIF
Wishlist,Lista de Deseos
To Cart,A la Bolsa
Remove,Quitar
Update,Actualizar
You have placed no products yet.,Aún no has seleccionado ningún producto.
Back - link to the previously viewed page,Volver – Enlace a página anterior
Currency,Moneda
Continue,Continuar
sample,muestra
My Downloadable Products,Mis Productos Descargables
Title,Título
Remaining Downloads,Descargas Pendientes
Start Download,Comenzar Descarga
You have not purchased any downloadable products yet.,Aún no has adquirido ningún producto descargable.
download,descargar
Item,Artículo
Sku,Ref
Gift Message for this Order,Mensaje de Regalo para este Pedido
Shipped By,Enviado Por
Tracking Number,Número de Seguimiento
You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:,Has recibido esta notificación porque te has suscrito para recibir alertas cuando son modificados los precios de los siguientes artículos:
Special price:,Precio especial:
Price:,Precio:
Click here not to receive alerts for this product,Clic aquí para no recibir notificaciones de este producto
Unsubscribe from all price alerts,Darse de baja de todas las alertas de precio
You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:,Has recibido esta notificación porque te has suscrito para recibir alertas cuando haya reposición de existencias de los siguientes artículos:
Unsubscribe from all stock alerts,Darse de baja de todas las alertas de existencias
Do you have any gift items in your order?,¿Tienes algún artículo de regalo en tu pedido?
Add gift options.,Añadir opciones de regalo.
Gift Options for the Entire Order.,Opciones de regalo para el Pedido Completo
Add gift options for the Entire Order,Añadir opciones de regalo para el Pedido Completo
You can leave this box blank if you do not wish to add a gift message for whole order.,Dejar en blanco si no deseas añadir un mensaje de regalo para el Pedido Completo.
Message,Mensaje
Gift Options for Individual Items,Opciones de Regalo para Artículo Individuales
Add gift options for Individual Items,Añadir opciones de regalo para Artículos Individuales
You can leave this box blank if you do not wish to add a gift message for the item.,Dejar en blanco si no deseas añadir un mensaje de regalo para el artículo.
Add gift options,Añadir opciones de regalo
Gift Options for this address.,Opciones de Regalo para esta dirección.
You can leave this box blank if you do not wish to add a gift message for this address.,Dejar en blanco si no deseas añadir un mensaje de regalo para esta dirección.
You will be redirected to our secure payment page when you place an order.,Serás redirigido a nuestra página de pago seguro cuando generes un pedido.
More information about Moneybookers,Mas información sobre Moneybookers
Find out more about Online Bank Transfer,Averiguar más sobre Transferencia Bancaria Online
Please pay your order now,Por favor paga tu pedido ahora
Powered by Moneybookers,Impulsado por Moneybookers
Loading secure payment page (SSL),Cargando página de pago seguro (SSL)
Man,Hombre
- Or use -,- O uso -
Newsletter,Newsletter
Sign Up for Our Newsletter:,Suscribete a Nuestro Newsletter:
Sign up for our newsletter,Suscribete a nuestro newsletter
Subscribe,Suscribir
Authorize application,Autorizar solicitud
After authorization application will have access to you account.,Tras autorizar la solicitud tendrás acceso a tu cuenta.
Authorize,Autorizar
Reject,Rechazar
Confirmation Of Authorization,Confirmación De Autorización
Authorization confirmed,Autorización confirmada
Give the verifier code to application administrator,Dar código de verificación al administrador de la solicitud
Log In,Inicia Sesión
Log in as a customer,Inicia sesión como cliente
Rejection Of Authorization,Rechazo De Autorización
Reject authorization,Rechazar autorización
My Applications,Mis Solicitudes
App Name,Nombre de App
Are you sure you want to delete this application?,¿Estas seguro de querer eliminar esta solicitud?
You have no applications.,No tienes solicitudes.
Allow,Permitir
Help Us to Keep Magento Healthy,Ayúdanos a Mantener Magento Sano
Report All Bugs,Reportar errores
JavaScript seems to be disabled in your browser.,JavaScript parece estar deshabilitado en tu navegador.
You must have JavaScript enabled in your browser to utilize the functionality of this website.,Debes tener JavaScript habilitado en tu navegador para usar la funcionalidad de esta página web.
This is a demo store. Any orders placed through this store will not be honored or fulfilled.,Esta es una tienda demo. Cualquier pedido generado en esta tienda no será completado.
Page:,Página:
About the calendar,Sobre el calendario
Date selection:,Selección de fecha:
- Hold mouse button on any of the above buttons for faster selection.,- Mantener botón de ratón en cualquiera de los botones superiores para obtener una selección más rápida.
Time selection:,Selección de tiempo:
- Click on any of the time parts to increase it,- Clic en cualquiera de las partes del tiempo para incrementarlo
- or Shift-click to decrease it,- o Mayúsculas y haga clic para disminuirlo
- or click and drag for faster selection.,- o haga clic y arrastre para una selección más rápida.
Prev. year (hold for menu),Año anterior (mostrar menú)
Prev. month (hold for menu),Mes anterior (mostrar menú)
Go Today,Ir Hoy
Next month (hold for menu),Proximo mes (mostrar menú)
Next year (hold for menu),Proximo año (mostrar menú)
Select date,Seleccionar fecha
Drag to move,Arrastrar para mover
Display,Mostrar
(Shift-)Click or drag to change value,(Mayúsculas-) Haga clic o arrastre para cambiar el valor
Time:,Hora:
Redirecting...,Redirigiendo...
Select Store:,Seleccionar Tienda:
Select Store,Seleccionar Tienda
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Para cancelar autorizaciones pendientes y liberar fondos que ya han sido procesados durante este pago, clic en Cancelar."
Please enter another credit card number to complete your purchase.,Por favor introduce otro número de tarjeta para completar el pedido.
Processing...,Procesando...
Credit Card %s,Tarjeta de Crédito %
Recurring Profile Start Date,Fecha Recurrente de Inicio de Perfil
Name on Card,Titular en la Tarjeta
Switch/Solo/Maestro Only,Switch/Solo/Maestro Solo
Issue Number,Número de Emisión
Start Date,Fecha de Inicio
Make Check payable to:,Hacer Talón pagable a:
Send Check to:,Enviar Talón a:
Purchase Order Number,Número de Pedido de Compra
Purchase Order Number:,Número de Pedido de Compra:
Please select a shipping method...,Por favor selecciona un método de envío...
Please update order data to get shipping methods and rates,Por favor actualiza la información de pedido para obtener métodos y gastos de envío
Update Shipping Method,Actualizar Método de Envío
Edit Payment Information,Editar Información de Pago
Items in Your Shopping Cart,Artículos en tu Bolsa
Edit Shopping Cart,Editar Bolsa
Unknown Error. Please try again later.,Error Desconocido. Por favor inténtalo de nuevo más tarde.
Server Error. Please try again.,Error de Servidor. Por favor inténtalo de nuevo.
-OR-,-O-
Checkout with PayPal,Pagar con PayPal
Checkout with PayPal Paypal Credit,Pagar con PayPal Credit
Please do not refresh the page until you complete payment.,Por favor no refrescar la página hasta completar el pedido.
You will be required to enter your payment details after you place an order.,Se requerirá que introduzcas tus datos de pago tras realizar un pedido.
Additional Options,Opciones Adicionales
Acceptance Mark,Señal de Aceptación
What is PayPal?,¿Qué es PayPal?
Sign a billing agreement to streamline further purchases with PayPal.,Firma un acuerdo de facturación para agilizar futuras compras con PayPal.
Remember Me,¿Me Recuerdas?
What\'s this?,¿Qué es esto?
Community Poll,Encuesta Comunitaria
Vote,Vota
Your Recently Compared,Tus Comparaciones Recientes
Your Recently Viewed,Tus Visualizaciones Recientes
Recently Compared Products,Productos Comparados Recientemente
Recently Viewed Products,Productos Visualizados Recientemente
Recently Compared,Comparado Recientemente
Recently Viewed,Visto Recientemente
My Product Reviews,Mis Opiniones de Productos
View Details,Vista Rápida
You have submitted no reviews.,No has enviado ninguna opinión.
My Recent Reviews,Mis Opiniones Recientes
View All Reviews,Ver Todas las Opiniones
Rating:,Puntuación:
Review Details,Revisar Detalles
Average Customer Rating:,Puntuación Media de Clientes:
Your Rating:,Tu Puntuación:
Back to My Reviews,Volver a Mis Opiniones
Write Your Own Review,Escribir Tu Propia Opinión
You're reviewing:,Estas opinando sobre:
How do you rate this product?,¿Cómo puntuarías este producto?
1 star,1 Estrella
2 stars,2 Estrellas
3 stars,3 Estrellas
4 stars,4 Estrellas
5 stars,5 Estrellas
Nickname,Apodo
Summary of Your Review,Resumen de tu Opinión
Review,Opinión
Submit Review,Enviar Opinión
Please select one of each of the ratings above,Por favor selecciona una de las puntuaciones superiores
"Only registered users can write reviews. Please, ","Solo usuarios registrados pueden escribir opiniones. Por favor, "
Add Your Review,Añadir Opinión
Customer Reviews,Opiniones de Clientes
Back to Main Product Info,Volver a Información General del Producto
Average Customer Rating,Puntuación Media de Clientes
Product Rating:,Puntuación de Producto:
Back to Product Reviews,Volver a Opiniones de Producto
RSS Feeds,RSS Feeds
Miscellaneous Feeds,Feeds Varios
Get Feed,Obtener Feed
Category Feeds,Feeds de Categorías
There are no Rss Feeds,No hay Feeds de Rss
Customer Name:,Nombre del Cliente:
Purchased From:,Adquirido de:
Discount,Descuento
Discount,Descuento
Shipping & Handling,Envío y Manipulación
Tax,Impuesto
Grand Total,Total
Billing Agreement,Acuerdo de Facturación
Cancel,Cancelar
Are you sure you want to do this?,¿Estás seguro de querer hacer esto?
Agreement Information,Información de Acuerdo
Reference ID:,ID de Referencia:
Status:,Estado:
Created:,Creado:
Updated:,Actualizado:
Payment Method:,Método de Pago
Related Orders,Pedidos Relacionados
Ship To,Enviar A
Order Total,Total Pedido
Order Status,Estado de Pedido
Back to Billing Agreements,Volver a Acuerdos de Facturación
Billing Agreements,Acuerdos de Facturación
Reference ID,Identificación de Referencia
Created At,Creado el
Updated At,Actualizado el
There are no billing agreements yet.,No hay acuerdos de facturación aún.
New Billing Agreement,Nuevos acuerdos de facturación
You will be redirected to the payment system website.,Serás redirigido a una página de sistema de pago.
-- Please Select --,-- Por Favor Selecciona --
Create...,Crear...
Orders and Returns,Pedidos y Devoluciones
Order Information,Información de Pedido
Order ID,ID de Pedido
Enter the billing last name and email/ZIP as in the order billing address,Introducir el apellido de facturación e email/código postal como en la dirección de facturación del pedido
Billing Last Name,Apellido de Facturación
Find Order By:,Buscar Pedido Por:
Billing ZIP Code,Código Postal de Facturación
Print All Refunds,Imprimir todos los Reembolsos
Refund #,Reembolso Nº
Print Refund,Imprimir Reembolso
Items Refunded,Artículos Reembolsados
SKU,REF
Discount Amount,Cantidad de Descuento
Row Total,Total Fila
My Orders - Details,Mis Pedidos – Detalles
Print All Invoices,Imprimir Todas las Facturas
Order #,Pedido Nº
Invoice #,Factura Nº
Print Invoice,Imprimir Factura
Items Ordered,Artículos Pedidos
Qty Ordered,Uds Pedidas
Qty Shipped,Uds Enviadas
Order Subtotal,Subtotal Pedido
Track Order,Seguir Pedido
Reorder,Reordenar
You have placed no orders.,No ha efectuado ningún pedido.
Subscribe to Order Status,Suscribir a Estado de Pedido
Print Order,Imprimir Pedido
Order #,Nº de Pedido
About This Order:,Sobre Este Pedido:
Order Date:,Fecha de Pedido:
No shipping information available,No hay información de pedido disponible
Invoice #,Factura
Items Invoiced,Artículos Facturados
Qty Invoiced,Uds Facturados
Order #,Pedido Nº
Refund #,Reembolso Nº
Invoice #,Factura  Nº
Order #,Pedido Nº
Order Date:,Fecha de Pedido:
Shipment #,Envío Nº
Number,Número
Items Shipped,Artículos Enviados
Recent Orders,Pedidos Recientes
View All,Ver Todo
Track all shipment(s),Seguir todos los pedido(s)
Track all shipments,Seguir todos los pedidos
Print All Shipments,Imprimir Todos los Envíos
Shipment #,Envío Nº
Print Shipment,Imprimir Envío
Track this shipment,Seguir este envío
Tracking Number(s):,Número(s) de Seguimiento:
Track your order,Seguir tu Pedido
Gift Message for This Order,Mensaje de Regalo para este Pedido
About Your Order,Sobre tu Pedido
Billing Agreement,Acuerdo de Facturación
-- Please Select Billing Agreement--,-- Por favor Selecciona Acuerdo de Facturación--
Recurring Profile #,Perfil Recurrente Nº
Suspend,Suspender
Activate,Activar
Get Update,Obtener Actualización
About This Profile:,Sobre Este Perfil:
No information available.,No hay información disponible.
Back to Recurring Profiles,Volver a Perfiles Recurrentes
Recurring Profiles,Perfiles Recurrentes
Last Ordered Items,Últimos Artículos Pedidos
Remove Email,Quitar Email
Name:,Nombre:
Email Address:,Dirección de Email:
Sender:,Remitente:
Recipient:,Destinatario:
Send Email,Enviar Email
Add Recipient,Añadir Destinatario
Tracking Information,Información de Seguimiento
Tracking Number:,Número de Seguimiento:
Carrier:,Portador:
Error:,Error:
Tracking information is currently not available. Please ,Información de envío actualmente no disponible. Por favor
contact us,contacta con nosotros
 for more information or , para mas información o
email us at ,envíanos un email a
Info:,Info:
Track:,Seguir:
Delivered on:,Entregado el:
Signed by:,Firmado por:
Delivered to:,Entregado a:
Shipped or billed on:,Enviado o facturado el:
Service Type:,Tipo de Servicio:
Weight:,Peso:
Location,Localización
Local Time,Hora Local
Description,Descripción
There is no tracking available for this shipment.,No hay información de seguimiento de este envío.
There is no tracking available.,No hay seguimiento disponible.
All Tags,Todas las Etiquetas
There are no tags available.,No hay etiquetas disponibles
My Recent Tags,Mis Etiquetas Recientes
View All Tags,Ver Todas las Etiquetas
Tags:,Etiquetas:
My Tags,Mis Etiquetas
Click on a tag to view your corresponding products.,Clic en la etiqueta para ver los productos correspondientes.
You have not tagged any products yet.,No has etiquetado ningún producto todavía.
Are you sure you want to delete this tag?,¿Estas seguro de querer eliminar esta etiqueta?
Unable to find any products tagged with,No se han podido encontrar productos etiquetados con
Back to Tags List,Volver a Listado de Etiquetas
Product Tags,Etiquetas de Productos
Other people marked this product with these tags:,Otras personas marcaron este producto con estas etiquetas:
Add Your Tags:,Añadir Tus Etiquetas:
Add Tags,Añadir Etiquetas
Use spaces to separate tags. Use single quotes (') for phrases.,Usar espacios para separar etiquetas. Usar comillas simples (') para frases.
Popular Tags,Etiquetas Populares
Grand Total Excl. Tax,Total Excl. Impuestos
Grand Total Incl. Tax,Total Incl. Impuestos
Subtotal (Excl. Tax),Subtotal (Excl. Impuestos)
Subtotal (Incl. Tax),Subtotal (Incl. Impuestos)
Share Wishlist,Compartir Wishlist
Add All to Cart,Añadir Todo a la Bolsa
Update Wishlist,Actualizar Wishlist
View Product,Ver Producto
RSS link to,Enlace RSS a
This Wishlist has no Items,Esta Wishlist no contiene Artículos
Options Details,Detalles de Opciones
Configured Price:,Precio Configurado:
Wishlist is empty now.,La Wishlist está vacía.
Share Your Wishlist,Compartir Tu Wishlist
Sharing Information,Compartiendo Información
"Email addresses, separated by commas","Direcciones de email, separado por comas"
Check this checkbox if you want to add a link to an rss feed to your wishlist.,Marca la casilla si quieres añadir un enlace a un feed rss a tu Wishlist.
