"Dutch","Holandeses";
"Send the order update e-mail to customer", "Enviar emaild e pedido actualizado al cliente";
"Keep the cart", "Guardar el carrito";
"Cart remains active when the customer returns to the webshop or cancels an order.", "La compra queda activa cuando el clientevuelva a la tienda o cancela un pedido";
"Are you using the One Step Checkout Module?", "Esta usando el modulo de  COMPRA EN 1 PASO?";
"<![CDATA[<a href='https://www.multisafepay.com/en/Open-a-test-account.html' target='_blank'>Sign up for a free test account</a>]]>", "<![CDATA[<a href='https://www.multisafepay.com/es/Abrir-una-cuenta-de-prueba.html' target='_blank'>Abre gratis una cuenta de prueba</a>]]>";
"Automatically redirects a customer back to the webshop after a succesful payment. (Skips MultiSafepay's 'Transaction Complete' screen)", "Redirect de consument terug naar de website na een geslaagde transactie?";
"Receive payments from applicable countries", "Voor welke landen staan we betalingen toe?";
"Sort order", "Tipo de Pedido";
"New order e-mail", "Nuevo email de pedido";
"Receive payments from specific countries", "Recibir pagos de diferentes Paises";
"After order confirmation", "Despues de la confirmacion de pedido";
"After notification", including cancelled order", "Despu�s de una actualizaci�n de estado", incluyendo una transacci�n cancelada";
"After notification", excluding cancelled order", "Despu�s de una actualizaci�n de estado", adem�s de una transacci�n anulada";
"If store currency is not allowed by settings. Used for each gateways.", "Si no se permite la moneda para almacenar los medios de pago seleccionados", encontrar un lugar para Euro Conversion";
"Cart remains active when the customer returns to the webshop or cancels an order.", "El carrito de compras permanecer� activa cuando el consumidor rompe la operaci�n y volver a la tienda";
"Show the gateway image if it exists", "Mostrar el logotipo del pago si es que existe";
"Show the gateway image if it exists in front of the title", "Mostrar el logotipo del pago por el t�tulo";
"Show iDEAL banklist in checkout", "Ver la selecci�n del banco dentro del sitio";
"Account ID (for Test Accounts)", "ID de la cuenta para el entorno de prueba";
"Site ID (for Test Accounts)", "Identificaci�n del sitio para el entorno de prueba";
"Site Code (for Test Accounts)", "C�digo de Web (para cuentas de prueba)";
"Days active before requests expires?", "D�as activos antes de que la solicitud expire";
"Enable the invoice e-mail for this payment method?", "Habilitar la factura electr�nica para este m�todo de pago";
"Payment fee description", visible in order totals", "Descripci�n cuota de Pago", visible en la totalizacion de pago.";
"Enable IP validation", "Habilitar validaci�n IP";
"Only visible for the following IP address", "S�lo es visible para la siguiente direcci�n IP";
"You can add multiple addresses seperated by ;", "Usted puede agregar m�ltiples direcciones separadas por ; ";
"Only visible for the following IP address (for Test Account)", "�nicamente visible por las siguientes IP (Para Cuenta Test)";
"Enable Test Account for these IP(s) when enabled Live Account", "Habilitar cuenta de prueba para estos IP (s) cuando se habilita una cuenta real";
"You can add multiple addresses separated by ;. Feature enabled only when \'Type account\' set \'Live account\'", "Usted puede agregar m�ltiples direcciones separadas por Funci�n activa s�lo cuando \ 'Tipo de cuenta \' set \ 'cuenta de Live \";
"Send request after complete order", "Enviar solicitud despu�s de la orden completar";
"Request will be send after update statuse to Complete for PAD only", "Solicitud ser� enviado despu�s de actualizaci�n de estado para completar para la PAD s�lo";
"Use for refund?", "Utilice para el reembolso?";
"Enable direct banktransfer (no MultiSafepay page)", Habilitar transferencia bancaria directa (sin p�gina MultiSafepay)";
"Send new account email", "Enviar nueva cuenta de correo electr�nico";
"Send the new account email when a customer account is created after using Fast Checkout", "Env�e la nueva cuenta de correo electr�nico", cuando se crea una cuenta de cliente despu�s de usar Fast Check out";
"Automatic login", "Log in automatico";
"Login the customer after returning from Fast Checkout ", "registrar al cliente despues de salir de Fast Check out ";
"Let the customer redirect to their account page", "Deje que el cliente sea redirigido a la pagina de su cuenta";
"Company name", "Nombre de la empresa";
"Birthday", "Fecha de nacimiento";
"Chamber of Commerce (CoC/KvK)", "Camara de comercio";
"VAT number", " Porcentaje de IVA";
"Passport number", "Numero de pasaporte";
"Drivers license", "licencia de conducirr";
"Sex", "Sexo";
"Cart remains active when the customer returns to the webshop or cancels an order", "La cesta permanece activa cuando el cliente vuelve a la tienda online o cancela una orden";
"Fee in EURO. Example 2.95 (2.95 is the maximum)", "Fee en EUROS. Ejemplo 2.95 (2.95 es el m�ximo)";
"Enable fee (inc. Tax)", "Habilitar cuota (incluido IVA)";
"Payment fee amount", "Importe de la cuota de pago";
"Show payment fee incl. tax during checkout", "Mostrar pago de la cuota incluido impuesto durante el pago";
"Tax class for payment fee", "Tipo de IVA para la taroifa de pago";
"Select which tax class should be used for the payment fee", "Selecci�ne que tipo de IVA aplicara al articulo.";
"Title", "Titulo"
"Enabled", "Activado"
"Instructions", "Instrucciones"
"Maximum Order Total", "Total M�ximo para pedidos"
"Payment fee description, visible in order totals", "Detalles de los gastos de pago visibles con el total del pedido"
"Sort order", "Elegir el orden"
"API Key", "Clave API"
"One Step Checkout", "Checkout en 1 Solo click"
"Account type", "Tipo de Cuenta"
"Minimum Order Total", "Total m�nimum  para pedidos"
"Send shipped status after complete order", "Cambiar Estado -Enviado- despu�s  de terminar el pago."
"Enable", "Activar"
"Account", "Cuenta"
"Newsletter", "Newsletter"
"Comment", "Comentarios"
"Type account", "Tipo de Cuenta"
"@"," @ "
"Order", "Order"
"You are not allowed to request the product feed!", "You are not allowed to request the product feed!"
"Please retry placing your order and select a different payment method.", "U kunt uw order nog steeds afronden door te kiezen voor een andere betaalmethode."
"We are sorry to inform you that your request for payment after delivery has been denied by Multifactor.<BR /> If you have questions about this rejection, you can checkout the FAQ on the website of Multifactor", "Het spijt ons u te moeten informeren dat u Betaal na Ontvangst verzoek niet is geaccepteerd door Multifactor.<BR /> Mocht u vragen hebben over uw afwijzing, dan kunt u de  FAQ op de website van  Multifactor"
"You can also contact Multifactor by calling 020-8500533 (at least 2 hours after this rejection) or by sending an email to "," raadplegen. U kunt tevens contact opnemen met Multifactor via telefoonnummer 020-8500533 (Minimaal 2 uur na de afwijzing) of door het sturen van een e-mail naar: "

