"Survey","Questionario"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Descrizione"
"The URL key was changed","La URL key &egrave; cambiata"
"This URL key already exists, so it was stored in the form like: %s","Questa  URL key esiste, viene salvata in questo modo: %s"
"Survey URL Prefix","Prefisso url del questionario"
"Session has expired","Sessione terminata"
"Back","Indietro"
"Metadata Information","Informazioni metadata "
"The product has been duplicated.","Prodotto duplicato con successo."
"Surveys list","Questionari"
